"race","disease_type3","riskfactor","V1","V2","V3"
1,"All_HD","dairy_tot",0,0,0
1,"All_STK","dairy_tot",0,0,0
1,"Cancer","dairy_tot",0.0102309735901297,0.00915904936350109,0.00952375944178466
1,"DIAB","dairy_tot",0,0,0
1,"Other_CVD","dairy_tot",0,0,0
2,"All_HD","dairy_tot",0,0,0
2,"All_STK","dairy_tot",0,0,0
2,"Cancer","dairy_tot",0.0148304540267504,0.0150710216507138,0.0161585860936875
2,"DIAB","dairy_tot",0,0,0
2,"Other_CVD","dairy_tot",0,0,0
3,"All_HD","dairy_tot",0,0,0
3,"All_STK","dairy_tot",0,0,0
3,"Cancer","dairy_tot",0.0119630915708014,0.0122928694411731,0.0124588616171168
3,"DIAB","dairy_tot",0,0,0
3,"Other_CVD","dairy_tot",0,0,0
4,"All_HD","dairy_tot",0,0,0
4,"All_STK","dairy_tot",0,0,0
4,"Cancer","dairy_tot",0.0147776722696685,0.0132981470640279,0.0148213639165822
4,"DIAB","dairy_tot",0,0,0
4,"Other_CVD","dairy_tot",0,0,0
1,"All_HD","leg_tot",0.0118168509462999,0.0105972386414211,0.0102160453093359
1,"All_STK","leg_tot",0.0236069559457364,0.0247297487915015,0.0206862654492217
1,"Cancer","leg_tot",0.003057060573675,0.00284997064820811,0.00281445394294612
1,"DIAB","leg_tot",0.0133783305539752,0.0147697403050721,0.0131804022584424
1,"Other_CVD","leg_tot",0.00478106097271834,0.00535021577213976,0.00438708158526309
2,"All_HD","leg_tot",0.00809917092691649,0.00790566712075672,0.0118701076460968
2,"All_STK","leg_tot",0.0175689380706969,0.0192534083205007,0.0264079605191564
2,"Cancer","leg_tot",0.00206575272524927,0.00227798540277053,0.00230761168190431
2,"DIAB","leg_tot",0.0113888365696038,0.0109892999719778,0.0121454676695745
2,"Other_CVD","leg_tot",0.00492909183420729,0.00477997452748329,0.00507811038200115
3,"All_HD","leg_tot",0.00318039981768124,0.0036920228947364,0.00266739613135691
3,"All_STK","leg_tot",0.00680791986384024,0.0105854348763156,0.00787001792524367
3,"Cancer","leg_tot",0.000982695465940176,0.00103152497829928,0.00113843001982595
3,"DIAB","leg_tot",0.00438401548031951,0.00514221586895293,0.00401889172308053
3,"Other_CVD","leg_tot",0.00180158497362141,0.00250796155440519,0.00158620401509852
4,"All_HD","leg_tot",0.0044091814144953,0.00663454332944947,0.00713054391377793
4,"All_STK","leg_tot",0.010039138078755,0.0156031013214891,0.0180266092658893
4,"Cancer","leg_tot",0.00160752620682474,0.00160758978665637,0.00193017269057651
4,"DIAB","leg_tot",0.00643350200350147,0.00832486293669134,0.00727363713844783
4,"Other_CVD","leg_tot",0.00236583240026081,0.00371360268145277,0.0037818074457206
