"race","pathway","riskfactor","V1","V2","V3"
1,"direct","dairy_tot",0.00578621685800517,0.00516711638884169,0.00537552570281027
1,"medBMI","dairy_tot",0,0,0
1,"medSBP","dairy_tot",0,0,0
2,"direct","dairy_tot",0.00795748743225291,0.00805544886137435,0.00866163969301528
2,"medBMI","dairy_tot",0,0,0
2,"medSBP","dairy_tot",0,0,0
3,"direct","dairy_tot",0.00745607857610685,0.00766516096110777,0.0077701348443051
3,"medBMI","dairy_tot",0,0,0
3,"medSBP","dairy_tot",0,0,0
4,"direct","dairy_tot",0.0108495500010564,0.00982680363260054,0.0109114910994293
4,"medBMI","dairy_tot",0,0,0
4,"medSBP","dairy_tot",0,0,0
1,"direct","leg_tot",0.00340947147615612,0.00340538420609189,0.00302847192947612
1,"medBMI","leg_tot",0.00402790751693975,0.00381264799227763,0.00361395761441596
1,"medSBP","leg_tot",0,0,0
2,"direct","leg_tot",0.00249864010670403,0.00266377391952939,0.0037282636430962
2,"medBMI","leg_tot",0.00327434003436192,0.00332769886357804,0.00401048373391046
2,"medSBP","leg_tot",0,0,0
3,"direct","leg_tot",0.000817530261504363,0.0010426475620748,0.000887570678072734
3,"medBMI","leg_tot",0.00128047437616171,0.00156673110269092,0.00127315224666142
3,"medSBP","leg_tot",0,0,0
4,"direct","leg_tot",0.00109951990921934,0.0015289889336891,0.00181263000291334
4,"medBMI","leg_tot",0.00160656724694404,0.00190332284367524,0.00207145885014583
4,"medSBP","leg_tot",0,0,0
