"female","race","pathway","disease_type","riskfactor","V1","V2","V3"
0,1,"direct","CMD","dairy_tot",0,0,0
0,1,"direct","Cancer","dairy_tot",0.0128181456824102,0.010522747630782,0.0127595578903064
0,1,"medBMI","CMD","dairy_tot",0,0,0
0,1,"medBMI","Cancer","dairy_tot",0,0,0
0,1,"medSBP","CMD","dairy_tot",0,0,0
0,1,"medSBP","Cancer","dairy_tot",0,0,0
0,2,"direct","CMD","dairy_tot",0,0,0
0,2,"direct","Cancer","dairy_tot",0.0167272697631614,0.0188688350775183,0.0196657498418207
0,2,"medBMI","CMD","dairy_tot",0,0,0
0,2,"medBMI","Cancer","dairy_tot",0,0,0
0,2,"medSBP","CMD","dairy_tot",0,0,0
0,2,"medSBP","Cancer","dairy_tot",0,0,0
0,3,"direct","CMD","dairy_tot",0,0,0
0,3,"direct","Cancer","dairy_tot",0.0175481107581002,0.0176569492151308,0.0163017570709182
0,3,"medBMI","CMD","dairy_tot",0,0,0
0,3,"medBMI","Cancer","dairy_tot",0,0,0
0,3,"medSBP","CMD","dairy_tot",0,0,0
0,3,"medSBP","Cancer","dairy_tot",0,0,0
0,4,"direct","CMD","dairy_tot",0,0,0
0,4,"direct","Cancer","dairy_tot",0.0207788123775,0.0192062722672171,0.022704137925011
0,4,"medBMI","CMD","dairy_tot",0,0,0
0,4,"medBMI","Cancer","dairy_tot",0,0,0
0,4,"medSBP","CMD","dairy_tot",0,0,0
0,4,"medSBP","Cancer","dairy_tot",0,0,0
1,1,"direct","CMD","dairy_tot",0,0,0
1,1,"direct","Cancer","dairy_tot",0.00840634398075887,0.00820560785467915,0.00724339344477854
1,1,"medBMI","CMD","dairy_tot",0,0,0
1,1,"medBMI","Cancer","dairy_tot",0,0,0
1,1,"medSBP","CMD","dairy_tot",0,0,0
1,1,"medSBP","Cancer","dairy_tot",0,0,0
1,2,"direct","CMD","dairy_tot",0,0,0
1,2,"direct","Cancer","dairy_tot",0.0135852283627939,0.0124961923605754,0.0138154585794128
1,2,"medBMI","CMD","dairy_tot",0,0,0
1,2,"medBMI","Cancer","dairy_tot",0,0,0
1,2,"medSBP","CMD","dairy_tot",0,0,0
1,2,"medSBP","Cancer","dairy_tot",0,0,0
1,3,"direct","CMD","dairy_tot",0,0,0
1,3,"direct","Cancer","dairy_tot",0.00849388314467542,0.00892961979633933,0.0100469153736302
1,3,"medBMI","CMD","dairy_tot",0,0,0
1,3,"medBMI","Cancer","dairy_tot",0,0,0
1,3,"medSBP","CMD","dairy_tot",0,0,0
1,3,"medSBP","Cancer","dairy_tot",0,0,0
1,4,"direct","CMD","dairy_tot",0,0,0
1,4,"direct","Cancer","dairy_tot",0.0105294647117555,0.00916922184754946,0.00923787044435506
1,4,"medBMI","CMD","dairy_tot",0,0,0
1,4,"medBMI","Cancer","dairy_tot",0,0,0
1,4,"medSBP","CMD","dairy_tot",0,0,0
1,4,"medSBP","Cancer","dairy_tot",0,0,0
0,1,"direct","CMD","leg_tot",0.00598793043770102,0.00665791053656947,0.00599788274524807
0,1,"direct","Cancer","leg_tot",0.0014661834699116,0.00184078761078908,0.00137703757119389
0,1,"medBMI","CMD","leg_tot",0.00710436483997354,0.00692917140628001,0.00566993015350496
0,1,"medBMI","Cancer","leg_tot",0.00151334177188054,0.0016230579593895,0.00143454748166638
0,1,"medSBP","CMD","leg_tot",0,0,0
0,1,"medSBP","Cancer","leg_tot",0,0,0
0,2,"direct","CMD","leg_tot",0.00631493253045961,0.0050440182749863,0.00649578429745911
0,2,"direct","Cancer","leg_tot",0.000920816462853261,0.00116498686557085,0.000905858357727728
0,2,"medBMI","CMD","leg_tot",0.00708213079768714,0.00549654872541462,0.00555173924723166
0,2,"medBMI","Cancer","leg_tot",0.00144677622287657,0.00119922822282737,0.00118015881236625
0,2,"medSBP","CMD","leg_tot",0,0,0
0,2,"medSBP","Cancer","leg_tot",0,0,0
0,3,"direct","CMD","leg_tot",0.00131382839035859,0.000348895179927035,0.00138708466420547
0,3,"direct","Cancer","leg_tot",0.000223303254839284,0.000129439199213617,0.000280877413692148
0,3,"medBMI","CMD","leg_tot",0.00144624978331298,0.000543291393918852,0.00136294956958424
0,3,"medBMI","Cancer","leg_tot",0.00054273832744855,0.000152295537448452,0.000369213792117694
0,3,"medSBP","CMD","leg_tot",0,0,0
0,3,"medSBP","Cancer","leg_tot",0,0,0
0,4,"direct","CMD","leg_tot",0.00249886516611726,0.0040891309444569,0.00317119896339042
0,4,"direct","Cancer","leg_tot",0.000558949338903027,0.000635365189037042,0.000700120661003435
0,4,"medBMI","CMD","leg_tot",0.00255413648330895,0.00349572459544025,0.00220801893963858
0,4,"medBMI","Cancer","leg_tot",0.000418184593935114,0.000631889153239691,0.000715840199552947
0,4,"medSBP","CMD","leg_tot",0,0,0
0,4,"medSBP","Cancer","leg_tot",0,0,0
1,1,"direct","CMD","leg_tot",0.00733917090898417,0.0064184965076676,0.00554402741397342
1,1,"direct","Cancer","leg_tot",0.000567173503752888,0.000376958426960678,0.000567100101435855
1,1,"medBMI","CMD","leg_tot",0.00585360165324315,0.00564286967925418,0.0059860257102492
1,1,"medBMI","Cancer","leg_tot",0.00254456965665378,0.00204381622835487,0.00224937563597768
1,1,"medSBP","CMD","leg_tot",0,0,0
1,1,"medSBP","Cancer","leg_tot",0,0,0
1,2,"direct","CMD","leg_tot",0.00318602370322186,0.00491250066818244,0.00837150808862688
1,2,"direct","Cancer","leg_tot",0.000221739463883536,0.000293492061956798,0.000320648204234392
1,2,"medBMI","CMD","leg_tot",0.00326501689792305,0.00503221476163254,0.00777965257854758
1,2,"medBMI","Cancer","leg_tot",0.00164586071655969,0.00192603161684737,0.00213501022852706
1,2,"medSBP","CMD","leg_tot",0,0,0
1,2,"medSBP","Cancer","leg_tot",0,0,0
1,3,"direct","CMD","leg_tot",0.00265761754906848,0.00516933768814377,0.00284292224844479
1,3,"direct","Cancer","leg_tot",0.000101645919057646,0.000166259329114324,0.000141692975151814
1,3,"medBMI","CMD","leg_tot",0.00270474498884789,0.00534805686773423,0.00239079288466315
1,3,"medBMI","Cancer","leg_tot",0.00101562696792862,0.00133538016465675,0.00130323691753687
1,3,"medSBP","CMD","leg_tot",0,0,0
1,3,"medSBP","Cancer","leg_tot",0,0,0
1,4,"direct","CMD","leg_tot",0.0036565509158425,0.00534193390455365,0.00835458397533852
1,4,"direct","Cancer","leg_tot",0.000287844809130514,0.000273410286851725,0.000310879314225865
1,4,"medBMI","CMD","leg_tot",0.00289172794537402,0.00445880500298623,0.00563682733001833
1,4,"medBMI","Cancer","leg_tot",0.00176593613840674,0.00157202476374758,0.0019835177462475
1,4,"medSBP","CMD","leg_tot",0,0,0
1,4,"medSBP","Cancer","leg_tot",0,0,0
