"pathway","disease_type3","riskfactor","V1","V2","V3"
"direct","Other_CVD","dairy_tot",0,0,0
"medBMI","Other_CVD","dairy_tot",0,0,0
"medSBP","Other_CVD","dairy_tot",0,0,0
"direct","Cancer","dairy_tot",11345.5751673006,10497.9604363509,11013.1929746326
"medBMI","Cancer","dairy_tot",0,0,0
"medSBP","Cancer","dairy_tot",0,0,0
"direct","DIAB","dairy_tot",0,0,0
"medBMI","DIAB","dairy_tot",0,0,0
"medSBP","DIAB","dairy_tot",0,0,0
"direct","All_HD","dairy_tot",0,0,0
"medBMI","All_HD","dairy_tot",0,0,0
"medSBP","All_HD","dairy_tot",0,0,0
"direct","All_STK","dairy_tot",0,0,0
"medBMI","All_STK","dairy_tot",0,0,0
"medSBP","All_STK","dairy_tot",0,0,0
"direct","Other_CVD","leg_tot",0,0,0
"medBMI","Other_CVD","leg_tot",502.942079977825,560.454463881104,474.021410213304
"medSBP","Other_CVD","leg_tot",0,0,0
"direct","Cancer","leg_tot",793.560812054616,839.560519453121,779.946542547474
"medBMI","Cancer","leg_tot",1904.70229497922,1727.62878970504,1797.68373404025
"medSBP","Cancer","leg_tot",0,0,0
"direct","DIAB","leg_tot",0,0,0
"medBMI","DIAB","leg_tot",856.070466739042,928.548331266576,851.928625160167
"medSBP","DIAB","leg_tot",0,0,0
"direct","All_HD","leg_tot",1995.80877778838,1763.74334420196,1851.44551368836
"medBMI","All_HD","leg_tot",2369.16023283406,2255.94826740401,2210.96418355333
"medSBP","All_HD","leg_tot",0,0,0
"direct","All_STK","leg_tot",2419.36000925558,2706.9257555483,2411.69732502251
"medBMI","All_STK","leg_tot",661.553547727236,619.399134123249,613.351522716083
"medSBP","All_STK","leg_tot",0,0,0
