"pathway","disease_type3","riskfactor","V1","V2","V3"
"direct","All_HD","dairy_tot",0,0,0
"direct","All_STK","dairy_tot",0,0,0
"direct","Cancer","dairy_tot",0.0112070103757301,0.0103800247559707,0.0108927629184079
"direct","DIAB","dairy_tot",0,0,0
"direct","Other_CVD","dairy_tot",0,0,0
"medBMI","All_HD","dairy_tot",0,0,0
"medBMI","All_STK","dairy_tot",0,0,0
"medBMI","Cancer","dairy_tot",0,0,0
"medBMI","DIAB","dairy_tot",0,0,0
"medBMI","Other_CVD","dairy_tot",0,0,0
"medSBP","All_HD","dairy_tot",0,0,0
"medSBP","All_STK","dairy_tot",0,0,0
"medSBP","Cancer","dairy_tot",0,0,0
"medSBP","DIAB","dairy_tot",0,0,0
"medSBP","Other_CVD","dairy_tot",0,0,0
"direct","All_HD","leg_tot",0.00481386735069475,0.00424150617976229,0.00446828210790875
"direct","All_STK","leg_tot",0.016488146108179,0.0183459268235659,0.0162277687472827
"direct","Cancer","leg_tot",0.000783868964184462,0.00083012876919245,0.000771417771083322
"direct","DIAB","leg_tot",0,0,0
"direct","Other_CVD","leg_tot",0,0,0
"medBMI","All_HD","leg_tot",0.0057143866788893,0.00542517625870769,0.00533594514640485
"medBMI","All_STK","leg_tot",0.00450854420655943,0.00419791756974269,0.00412710441238201
"medBMI","Cancer","leg_tot",0.00188143995061889,0.00170822034575123,0.00177802593328589
"medBMI","DIAB","leg_tot",0.0117557581301545,0.0128016556038034,0.0117934850435819
"medBMI","Other_CVD","leg_tot",0.00456513545597532,0.00508679584061851,0.0042980416016768
"medSBP","All_HD","leg_tot",0,0,0
"medSBP","All_STK","leg_tot",0,0,0
"medSBP","Cancer","leg_tot",0,0,0
"medSBP","DIAB","leg_tot",0,0,0
"medSBP","Other_CVD","leg_tot",0,0,0
