"age","female","outcome","pathway","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,"AA","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"AA","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"AA","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"AA","medBMI","leg_tot",0.97740150379703,0.0235162887113079,0.985544328569695,0.952628454945173,0.995253151592122,0.00870678517564612,0.000638045624285803,0.00839134169505267,0.00829307353373392,0.00938862377606274,0.839134169505267,0.829307353373392,0.938862377606274,0.00286179351608016,6.88547769722537e-05,0.00288563538970779,0.00278925899438936,0.00291406244518746
25,0,"AA","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"AA","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"AFF","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"AFF","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"AFF","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"AFF","medBMI","leg_tot",0.101192640966581,0.0239598842877335,0.105631807764728,0.0768390192166541,0.121772970938084,0.00893587424633687,0.00178924040664647,0.00994274061698906,0.00702369046262272,0.00999222161499665,0.994274061698906,0.702369046262272,0.999222161499665,0.000296288109510958,7.01536075341517e-05,0.000309285816912042,0.000224981654030526,0.000356546513700467
25,0,"AFF","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"AFF","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"APCA","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"APCA","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"APCA","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"APCA","medBMI","leg_tot",0.00879467944920422,0.00136346971647718,0.00922583006325565,0.00736566058019191,0.00985722029627282,0.000910163651608449,0.000261618394890516,0.000912135513256329,0.000660793429995573,0.00115785779082063,0.0912135513256329,0.0660793429995573,0.115785779082063,2.57504787192988e-05,3.99218619863751e-06,2.70128709163161e-05,2.15663671563347e-05,2.88615569147981e-05
25,0,"APCA","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"APCA","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"BC","direct","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,"BC","direct","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,"BC","medBMI","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,"BC","medBMI","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,"BC","medSBP","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,"BC","medSBP","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,"CC","direct","dairy_tot",89.555149159251,15.9552167248742,95.35294814901,72.7037404098171,101.47842876739,0.0689608683834453,0.0118309434559936,0.0740166626517702,0.056370777115193,0.0772535345236214,7.40166626517702,5.6370777115193,7.72535345236214,0.262213986984777,0.0467162528331661,0.279189716500202,0.212873718826195,0.297124885055247
25,0,"CC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"CC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"CC","medBMI","leg_tot",0.89387868737252,0.520195392825659,1.11570847766048,0.34035005306357,1.2588519999367,0.000678744431298759,0.000386702077276936,0.000811201874342187,0.000271618521797859,0.000973281514212745,0.0811201874342187,0.0271618521797859,0.0973281514212745,0.00261724196427688,0.00152311183940268,0.0032667509460549,0.00099653169272914,0.00368586960131331
25,0,"CC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"CC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"CM","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"CM","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"CM","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"CM","medBMI","leg_tot",4.75787834334254,1.07965161141746,4.50879110765983,3.85875254640144,5.86872829061395,0.0106561250718861,0.00320693949978421,0.00957781515955359,0.00819984196781728,0.0140289716014376,0.957781515955359,0.819984196781728,1.40289716014376,0.0139308823859795,0.00316117784674659,0.0132015646662442,0.0112982770893533,0.0171834077443806
25,0,"CM","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"CM","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"DIAB","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
